UNITCD,PLT_CN,PHYSCLCD
3,43302617010478,22
3,43302682010478,22
3,43302737010478,22
3,43303041010478,22
3,43303625010478,22
3,43303713010478,22
3,43303810010478,22
4,43297361010478,22
4,43297522010478,22
4,43297768010478,21
4,43298095010478,22
4,43298370010478,22
4,43298836010478,22
4,43298960010478,21
4,43299293010478,22
3,43299440010478,22
3,43299571010478,22
2,43230252010478,22
2,43230397010478,32
2,43230755010478,21
2,43230931010478,21
2,43232159010478,22
2,43232358010478,22
2,43232426010478,22
2,43232530010478,22
2,43232615010478,22
2,43232820010478,25
5,43242605010478,22
5,43242766010478,22
5,43242979010478,22
5,43243102010478,22
5,43243322010478,22
5,43243447010478,22
5,43243622010478,22
5,43243944010478,22
5,43244044010478,22
5,43244726010478,22
5,43244855010478,22
5,43245311010478,22
5,43245477010478,22
5,43245840010478,22
5,43245960010478,22
5,43246004010478,25
5,43246583010478,22
5,43246888010478,22
5,43247315010478,22
5,43247433010478,22
5,43247531010478,22
2,43345493010478,25
2,43345800010478,22
2,43345954010478,22
2,43345995010478,22
2,43346466010478,22
2,43346517010478,39
2,43346639010478,22
2,43346764010478,22
2,43346863010478,22
2,43347014010478,22
2,43347212010478,22
2,43347295010478,22
2,43347382010478,22
3,43299709010478,22
3,43299830010478,22
3,43343387010478,22
3,43343568010478,22
3,43343756010478,22
3,43343877010478,22
3,43343950010478,22
3,43344187010478,22
3,43300025010478,21
3,43300162010478,22
3,43300202010478,22
3,43300372010478,22
3,43300514010478,22
3,43300652010478,22
3,43300708010478,22
3,43301105010478,22
3,43301762010478,21
3,43301892010478,22
3,43302031010478,22
2,43233526010478,21
2,43233644010478,22
2,43233945010478,22
2,43234046010478,22
2,43234418010478,22
2,43235034010478,22
2,43235169010478,22
2,43235401010478,22
2,43235979010478,22
2,43236024010478,22
2,43236086010478,22
2,43236392010478,22
2,43228817010478,22
2,43228946010478,24
2,43229047010478,21
2,43229145010478,22
2,43229748010478,21
4,43332656010478,22
4,43333125010478,22
4,43333193010478,22
5,43333379010478,22
5,43333619010478,21
5,43333843010478,22
5,43333990010478,22
5,43334073010478,11
5,43334367010478,21
5,43335117010478,22
4,43395267010478,21
4,43395376010478,22
4,43395588010478,22
4,43395667010478,21
4,43395840010478,22
4,43396472010478,22
4,43396584010478,22
4,43397006010478,22
4,43397382010478,22
4,43398050010478,21
4,43398383010478,21
4,43398665010478,22
4,43398844010478,25
4,43399548010478,25
4,43399652010478,22
4,43399942010478,25
4,43400405010478,21
4,43400622010478,22
4,43400890010478,25
2,43238615010478,21
2,43239199010478,21
2,43236944010478,22
2,43238186010478,22
2,43238235010478,21
2,43238402010478,22
3,43339810010478,22
3,43339938010478,21
3,43340071010478,22
3,43340213010478,22
3,43340534010478,22
3,43340622010478,22
3,43341008010478,22
3,43341113010478,22
3,43341347010478,22
3,43341635010478,22
3,43341739010478,21
3,43341865010478,22
3,43341965010478,22
3,43342038010478,22
3,43342165010478,22
3,43342276010478,22
3,43342320010478,22
3,43342461010478,22
3,43342785010478,22
3,43342876010478,22
3,43342940010478,22
3,43343000010478,21
3,43343265010478,22
3,43344580010478,22
3,43344683010478,22
2,43345161010478,22
2,43345244010478,24
2,43345292010478,39
4,43401232010478,25
4,43401711010478,22
4,43394875010478,21
4,43395105010478,22
5,43335515010478,22
5,43335681010478,22
